Time,Roll,Pitch,Yaw,Voltage
450026,0.02,-0.02,1.91,0.05
450031,0.02,-0.02,1.91,0.05
450038,0.01,-0.02,1.91,0.05
450043,0.01,-0.02,1.91,0.05
450051,0.02,-0.01,1.91,0.05
450058,0.02,-0.01,1.91,0.05
450062,0.02,-0.01,1.91,0.05
450070,0.02,-0.01,1.91,0.05
450077,0.02,-0.01,1.91,0.05
450081,0.02,-0.01,1.91,0.05
450088,0.02,-0.01,1.91,0.05
450096,0.02,-0.01,1.91,0.05
450101,0.02,-0.01,1.91,0.05
450108,0.02,-0.01,1.91,0.05
450113,0.02,-0.01,1.91,0.05
450120,0.02,-0.01,1.91,0.05
450127,0.02,-0.00,1.90,0.05
450131,0.02,-0.00,1.90,0.05
450139,0.02,-0.00,1.90,0.05
450146,0.03,-0.00,1.90,0.05
450151,0.03,-0.00,1.90,0.05
450158,0.03,-0.01,1.90,0.05
450163,0.03,-0.01,1.90,0.05
450170,0.03,-0.01,1.90,0.05
450178,0.03,-0.01,1.91,0.05
450182,0.03,-0.01,1.91,0.05
450189,0.03,-0.01,1.91,0.05
450196,0.03,-0.01,1.91,0.05
450201,0.03,-0.01,1.91,0.05
450208,0.02,-0.01,1.91,0.05
450213,0.02,-0.01,1.91,0.05
450221,0.02,-0.01,1.91,0.05
450228,0.02,-0.01,1.91,0.05
450232,0.02,-0.01,1.91,0.05
450239,0.02,-0.00,1.91,0.05
450246,0.03,-0.00,1.91,0.05
450251,0.03,-0.00,1.91,0.05
450258,0.03,-0.00,1.91,0.05
450264,0.03,-0.00,1.91,0.05
450271,0.03,-0.01,1.90,0.05
450278,0.03,-0.01,1.90,0.05
450282,0.03,-0.01,1.90,0.05
450289,0.03,-0.01,1.90,0.05
450296,0.02,-0.01,1.90,0.05
450301,0.02,-0.01,1.90,0.08
450309,0.02,-0.01,1.90,0.05
450316,0.02,-0.01,1.90,0.05
450321,0.02,-0.01,1.90,0.05
450328,0.02,-0.01,1.90,0.05
450333,0.02,-0.01,1.90,0.05
450340,0.01,-0.01,1.90,0.05
450348,0.02,-0.01,1.91,0.05
450352,0.02,-0.01,1.91,0.05
450359,0.02,-0.01,1.91,0.05
450366,0.02,-0.01,1.91,0.05
450371,0.02,-0.01,1.91,0.05
450378,0.02,-0.00,1.91,0.05
450383,0.02,-0.00,1.91,0.05
450391,0.03,-0.00,1.91,0.05
450398,0.03,-0.00,1.91,0.05
450402,0.03,-0.00,1.91,0.05
450409,0.03,-0.00,1.91,0.05
450416,0.02,-0.00,1.91,0.05
450421,0.02,-0.00,1.91,0.05
450428,0.02,-0.01,1.91,0.05
450434,0.02,-0.01,1.91,0.05
450441,0.02,-0.01,1.91,0.05
450448,0.02,-0.01,1.91,0.05
450452,0.02,-0.01,1.91,0.05
450459,0.02,-0.01,1.91,0.05
450466,0.02,-0.01,1.91,0.05
450471,0.02,-0.01,1.91,0.05
450479,0.02,-0.01,1.91,0.05
450484,0.02,-0.01,1.91,0.05
450491,0.02,-0.01,1.91,0.05
450498,0.02,-0.01,1.91,0.05
450502,0.02,-0.01,1.91,0.08
450509,0.02,-0.01,1.91,0.05
450516,0.02,-0.01,1.90,0.05
450522,0.02,-0.01,1.90,0.05
450529,0.01,-0.01,1.90,0.05
450536,0.01,-0.01,1.90,0.05
450541,0.01,-0.01,1.90,0.05
450548,0.01,-0.01,1.90,0.05
450553,0.01,-0.01,1.90,0.05
450561,0.01,-0.01,1.90,0.05
450568,0.01,-0.01,1.91,0.05
450572,0.01,-0.01,1.91,0.05
450579,0.01,-0.01,1.91,0.05
450586,0.01,-0.01,1.91,0.05
450591,0.01,-0.01,1.91,0.05
450598,0.02,-0.01,1.91,0.05
450604,0.02,-0.01,1.91,0.05
450611,0.02,-0.01,1.91,0.05
450618,0.02,-0.01,1.91,0.05
450622,0.02,-0.01,1.91,0.05
450629,0.02,-0.01,1.91,0.05
450636,0.02,-0.01,1.91,0.05
450641,0.02,-0.01,1.91,0.05
450649,0.02,-0.01,1.91,0.05
450654,0.02,-0.01,1.91,0.05
450661,0.02,-0.01,1.91,0.05
450668,0.01,-0.01,1.91,0.05
450672,0.01,-0.01,1.91,0.05
450680,0.01,-0.01,1.91,0.05
450688,0.01,-0.01,1.91,0.05
450692,0.01,-0.01,1.91,0.05
450699,0.02,-0.01,1.91,0.05
450706,0.02,-0.01,1.91,0.05
450711,0.02,-0.01,1.91,0.05
450718,0.01,-0.02,1.91,0.05
450723,0.01,-0.02,1.91,0.05
450731,0.01,-0.02,1.91,0.05
450738,0.01,-0.02,1.91,0.05
450742,0.01,-0.02,1.91,0.05
450749,0.01,-0.01,1.91,0.05
450756,0.01,-0.01,1.91,0.05
450761,0.01,-0.01,1.91,0.05
450768,0.02,-0.01,1.91,0.05
450774,0.02,-0.01,1.91,0.05
450781,0.02,-0.01,1.91,0.05
450788,0.02,-0.00,1.91,0.05
450792,0.02,-0.00,1.91,0.05
450799,0.02,-0.00,1.91,0.05
450806,0.03,-0.00,1.91,0.05
450811,0.03,-0.00,1.91,0.05
450819,0.03,-0.01,1.91,0.05
450824,0.03,-0.01,1.91,0.05
450831,0.03,-0.01,1.91,0.05
450838,0.03,-0.01,1.91,0.05
450842,0.03,-0.01,1.91,0.05
450849,0.02,-0.01,1.91,0.05
450857,0.02,-0.01,1.91,0.05
450862,0.02,-0.01,1.91,0.05
450869,0.01,-0.01,1.91,0.05
450876,0.01,-0.01,1.91,0.05
450881,0.01,-0.01,1.91,0.05
450888,0.01,-0.01,1.91,0.05
450893,0.01,-0.01,1.91,0.05
450900,0.01,-0.01,1.91,0.05
450908,0.01,-0.01,1.91,0.05
450912,0.01,-0.01,1.91,0.05
450919,0.01,-0.01,1.91,0.05
450926,0.01,-0.01,1.91,0.05
450931,0.01,-0.01,1.91,0.05
450938,0.01,-0.01,1.91,0.05
450944,0.01,-0.01,1.91,0.05
450951,0.01,-0.01,1.91,0.05
450958,0.01,-0.01,1.91,0.05
450962,0.01,-0.01,1.91,0.05
450970,0.01,-0.01,1.91,0.05
450977,0.02,-0.01,1.91,0.05
450981,0.02,-0.01,1.91,0.05
450989,0.02,-0.01,1.91,0.05
450994,0.02,-0.01,1.91,0.05
451001,0.03,-0.01,1.92,0.05
451008,0.03,-0.01,1.92,0.05
451013,0.03,-0.01,1.92,0.05
451020,0.03,-0.01,1.92,0.05
451027,0.03,-0.01,1.92,0.05
451032,0.03,-0.01,1.92,0.05
451040,0.03,-0.01,1.91,0.08
451046,0.03,-0.01,1.91,0.05
451051,0.03,-0.01,1.91,0.05
451058,0.02,-0.01,1.91,0.05
451063,0.02,-0.01,1.91,0.05
451070,0.01,-0.01,1.91,0.05
451078,0.01,-0.01,1.90,0.05
451083,0.01,-0.01,1.90,0.05
451090,0.01,-0.02,1.90,0.05
451097,0.01,-0.02,1.90,0.05
451101,0.01,-0.02,1.90,0.05
451108,0.01,-0.02,1.90,0.05
451113,0.01,-0.02,1.90,0.05
451121,0.01,-0.01,1.90,0.05
451128,0.01,-0.01,1.90,0.05
451133,0.01,-0.01,1.90,0.05
451140,0.01,-0.01,1.91,0.05
451147,0.01,-0.01,1.91,0.05
451151,0.01,-0.01,1.91,0.05
451159,0.01,-0.00,1.91,0.05
451167,0.01,-0.00,1.92,0.05
451171,0.01,-0.00,1.92,0.05
451178,0.01,-0.00,1.93,0.05
451183,0.01,-0.00,1.93,0.05
451190,0.02,-0.00,1.93,0.05
451197,0.02,-0.01,1.94,0.05
451202,0.02,-0.01,1.94,0.05
451210,0.02,-0.01,1.94,0.05
451217,0.03,-0.01,1.94,0.05
451221,0.03,-0.01,1.94,0.05
451228,0.03,-0.01,1.93,0.05
451233,0.03,-0.01,1.93,0.05
451240,0.03,-0.01,1.92,0.05
451248,0.03,-0.01,1.91,0.05
451253,0.03,-0.01,1.91,0.05
451260,0.03,-0.01,1.91,0.05
451267,0.03,-0.01,1.90,0.05
451272,0.03,-0.01,1.90,0.05
451279,0.03,-0.01,1.90,0.05
451287,0.02,-0.01,1.89,0.05
451291,0.02,-0.01,1.89,0.05
451298,0.01,-0.01,1.89,0.05
451303,0.01,-0.01,1.89,0.05
451310,0.01,-0.01,1.89,0.05
451317,0.01,-0.01,1.89,0.05
451322,0.01,-0.01,1.89,0.05
451330,0.02,-0.00,1.90,0.05
451337,0.02,-0.00,1.90,0.08
451341,0.02,-0.00,1.90,0.05
451348,0.02,-0.00,1.91,0.05
451353,0.02,-0.00,1.91,0.05
451360,0.02,-0.00,1.92,0.05
451367,0.02,-0.01,1.93,0.05
451373,0.02,-0.01,1.93,0.05
451380,0.02,-0.01,1.94,0.05
451387,0.02,-0.01,1.94,0.05
451392,0.02,-0.01,1.94,0.05
451399,0.02,-0.01,1.94,0.05
451403,0.02,-0.01,1.94,0.05
451410,0.03,-0.01,1.94,0.08
451418,0.03,-0.01,1.94,0.05
451423,0.03,-0.01,1.94,0.05
451430,0.03,-0.01,1.93,0.05
451437,0.03,-0.01,1.92,0.05
451442,0.03,-0.01,1.92,0.05
451449,0.03,-0.01,1.91,0.05
451457,0.03,-0.01,1.91,0.05
451462,0.03,-0.01,1.91,0.05
451469,0.03,-0.01,1.90,0.05
451473,0.03,-0.01,1.90,0.05
451480,0.03,-0.01,1.89,0.05
451487,0.03,-0.00,1.89,0.05
451492,0.03,-0.00,1.89,0.05
451500,0.02,-0.00,1.89,0.05
451507,0.02,0.01,1.89,0.05
451512,0.02,0.01,1.89,0.05
451519,0.01,0.01,1.89,0.05
451523,0.01,0.01,1.89,0.05
451530,0.01,-0.00,1.90,0.05
451537,0.01,-0.00,1.91,0.05
451543,0.01,-0.00,1.91,0.05
451550,0.01,-0.01,1.92,0.05
451557,0.01,-0.01,1.93,0.05
451562,0.01,-0.01,1.93,0.05
451569,0.02,-0.01,1.94,0.05
451573,0.02,-0.01,1.94,0.05
451580,0.02,-0.01,1.94,0.05
451588,0.02,-0.01,1.94,0.05
451593,0.02,-0.01,1.94,0.05
451600,0.02,-0.00,1.94,0.05
451607,0.02,-0.00,1.94,0.05
451612,0.02,-0.00,1.94,0.05
451619,0.02,-0.00,1.93,0.05
451627,0.02,-0.00,1.92,0.05
451632,0.02,-0.00,1.92,0.05
451639,0.02,0.01,1.91,0.05
451643,0.02,0.01,1.91,0.05
451650,0.02,0.01,1.91,0.05
